0.8550633616075842 3.487 1.0901e-13
0.861001301618748 3.488 1.3785e-13
0.867022289741956 3.49 2.0381e-13
0.8731280805147867 3.492 4.2895e-13
0.8793204782489342 3.492 6.0422e-13
0.8856013388078552 3.493 1.0428e-12
0.891972571461149 3.496 1.7377e-12
0.8984361408195632 3.496 2.6367e-12
0.9049940688547423 3.496 3.903e-12
0.9116484370080861 3.497 6.2911e-12
0.9184013883933312 3.499 1.0428e-11
0.925255130097759 3.5 1.8128e-11
0.9322119355872158 3.501 4.2039e-11
0.9392741472204523 3.502 8.7196e-11
0.9464441788786238 3.503 1.5856e-10
0.9537245187161516 3.505 2.7228e-10
0.9611177320395327 3.506 4.4799e-10
0.9686264643210915 3.509 7.5284e-10
0.9762534443551159 3.509 1.2714e-9
0.9840014875642834 3.512 2.3352e-9
0.9918734994647977 3.513 5.8798e-9
0.9998724792991912 3.515 1.4318e-8
1.0080015238463391 3.517 2.7132e-8
1.0162638314188501 3.518 4.794e-8
1.0246627060586753 3.52 8.0863e-8
1.0332015619424977 3.522 1.3904e-7
1.0418839280092413 3.524 2.3153e-7
1.050713452822879 3.526 5.5561e-7
1.059693909684613 3.527 0.0000017653
1.0688292020094803 3.53 0.0000034275
1.078123368983476 3.533 0.0000056876
1.0875805915184187 3.534 0.000008621
1.0972051985230065 3.537 0.000012382
1.1070016735098187 3.54 0.000017068
1.1169746615594567 3.542 0.000022913
1.1271289766645427 3.545 0.000030217
1.137469609477979 3.547 0.00003977
1.1480017354916638 3.549 0.000052168
1.1587307236738291 3.553 0.00006782
1.1696621455952803 3.556 0.00009245
1.1808017850771402 3.559 0.00013043
1.1921556483951896 3.562 0.00017959
1.2037299750786379 3.565 0.00024048
1.2155312493441148 3.568 0.00031437
1.227566212208908 3.572 0.00039616
1.2398418743309971 3.575 0.0004902
1.2523655296272698 3.579 0.00059638
1.2651447697255074 3.582 0.00071334
1.2781874993103064 3.578 0.0008406
1.2915019524281222 3.584 0.00098243
1.3050967098221022 3.584 0.0011393
1.3189807173734012 3.59 0.0013061
1.333163305732255 3.597 0.0014757
1.3476542112293446 3.598 0.0016787
1.3624635981659308 3.604 0.0018864
1.3776020825899968 3.61 0.0021092
1.3930807576752777 3.613 0.0023464
1.4089112208306787 3.617 0.0026001
1.425105602679307 3.622 0.0028697
1.441676598059299 3.628 0.0031563
1.4586374992129378 3.636 0.0034605
1.4760022313464252 3.641 0.0037828
1.4937853907602376 3.646 0.0041235
1.5120022857695088 3.655 0.0044836
1.530668980655552 3.662 0.004864
1.5498023429137464 3.669 0.0052655
1.5694200940898697 3.677 0.0056888
1.5895408645269193 3.684 0.0061338
1.6101842523779184 3.693 0.0066054
1.6313708872776278 3.701 0.0070942
1.6531224991079962 3.712 0.0076156
1.6754619923391854 3.719 0.0081618
1.698413526480818 3.73 0.0087312
1.722002603237496 3.741 0.0093335
1.7462561610295735 3.753 0.009961
1.7712026776157104 3.765 0.010623
1.7968722816391265 3.776 0.011317
1.8232968740161721 3.791 0.012045
1.850510260195518 3.805 0.012807
1.8785482944409047 3.817 0.013608
1.9074490374323032 3.835 0.014447
1.937252928642183 3.851 0.014693
1.9680029751285668 3.869 0.016268
1.9997449585983824 3.888 0.016809
2.0325276628377003 3.908 0.017257
2.0664031238849954 3.931 0.018521
2.101426905645758 3.954 0.020076
2.1376584040189606 3.977 0.021896
2.1751611830368374 4.006 0.023746
2.2140033470196374 4.038 0.026551
2.2542579533290854 4.073 0.028038
2.2960034709833277 4.103 0.029896
2.3393242911905605 4.145 0.034804
2.3843112967903792 4.187 0.039531
2.4310624986882297 4.235 0.043831
2.4796837486619943 4.289 0.048542
2.5302895394510148 4.349 0.05381
2.5830039048562443 4.412 0.059817
2.6379614347468023 4.485 0.07024
2.695308422458689 4.572 0.079105
2.7552041651799937 4.673 0.095362
2.8178224416613573 4.79 0.11201
2.883353196118598 4.932 0.13766
2.9520044626928503 5.11 0.17694
3.0240045715390176 5.341 0.24127
3.099604685827493 5.623 0.32627
3.1790817290538387 6.025 0.50308
3.2627417745552556 6.587 0.98399
3.3509239846783707 6.82 2.1403
3.444005206474992 5.914 2.9135
3.5424053552314207 5.423 2.9078
3.6465937480323443 5.245 2.9573
3.7570965888818093 5.135 3.0935
3.874505857284366 5.085 3.2824
3.999489917196765 5.091 3.6239
4.132806247769991 5.049 4.29
4.275316808037921 4.185 5.3124
4.428006694039275 2.84 5.1961
4.592006941966655 2.03 4.5958
4.7686225935807585 1.737 3.9932
4.9593674973239885 1.637 3.5889
